P1,3음절,단어,0.5564811518324609,0.9408866995073891
P1,3음절,비단어,0.5619757894736845,0.9359605911330049
P1,4음절,단어,0.5636654822335024,0.9704433497536946
P1,4음절,비단어,0.5299708542713563,0.9802955665024631
P2,3음절,단어,0.494079081632653,0.9655172413793104
P2,3음절,비단어,0.5442800000000002,0.9359605911330049
P2,4음절,단어,0.5028145077720207,0.9507389162561576
P2,4음절,비단어,0.5446751295336788,0.9507389162561576
P3,3음절,단어,0.45590106382978735,0.9261083743842364
P3,3음절,비단어,0.508383505154639,0.9556650246305419
P3,4음절,단어,0.4771252631578948,0.9359605911330049
P3,4음절,비단어,0.49968367346938775,0.9655172413793104
P4,3음절,단어,0.6352476190476191,0.10344827586206896
P4,3음절,비단어,0.6464093023255814,0.21182266009852216
P4,4음절,단어,0.64062,0.09852216748768473
P4,4음절,비단어,0.6520826086956522,0.11330049261083744
P5,3음절,단어,0.5740894117647056,0.8374384236453202
P5,3음절,비단어,0.5806065934065934,0.896551724137931
P5,4음절,단어,0.6171959999999997,0.8620689655172413
P5,4음절,비단어,0.5571276595744681,0.9261083743842364
